filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
Swing059.wav,0.22392183542251587,0.08053459227085114,936.8255135551118,1039.0004943665897,1513.5075146937886,0.05220678937693499,-260.3763427734375,177.86599731445312,-22.169523239135742,20.835044860839844,-14.144237518310547,-9.459853172302246,0.8921093344688416,-18.96735382080078,-1.04774010181427,-9.370177268981934,-2.1412088871002197,5.1917877197265625,-7.563831806182861,-0.9937745928764343,-2.066554307937622,-2.1164937019348145,0.05057631805539131,-1.3641990423202515,1.1848024129867554,-3.2039542198181152,Swing
Swing060.wav,0.31569433212280273,0.06741084158420563,1534.2167622500633,1551.3253654626903,3054.056532537974,0.10275599240518576,-226.79576110839844,148.82408142089844,-34.56096649169922,51.33150100708008,-20.516876220703125,10.664237976074219,-5.646170139312744,-19.627887725830078,-1.9692473411560059,-8.190929412841797,1.650635004043579,-14.14747142791748,-9.520637512207031,2.1959421634674072,-7.339354038238525,-5.615736961364746,1.0717116594314575,-7.224266052246094,-9.500675201416016,-2.3396172523498535,Swing
Swing061.wav,0.2807260751724243,0.08106999099254608,1290.5050550724698,1362.5425161163948,2356.369084691854,0.06886844221652477,-220.265869140625,159.55084228515625,-41.971336364746094,26.516199111938477,-26.09971809387207,-0.8334576487541199,-6.243523120880127,-15.809991836547852,2.7297518253326416,-10.590770721435547,2.8649353981018066,-3.9160642623901367,-7.5459303855896,-0.9972159266471863,-7.86205530166626,-2.063847780227661,-3.8619494438171387,-3.990017890930176,-3.713146209716797,-7.291089057922363,Swing
Swing062.wav,0.28100666403770447,0.091168113052845,1333.8603055525311,1376.673019122089,2472.7850474071206,0.07003359012190402,-215.5158233642578,145.52793884277344,-33.37519073486328,23.04652976989746,-17.032814025878906,-6.604640483856201,-5.9932451248168945,-15.038422584533691,-2.367920398712158,-11.75837516784668,-3.8081398010253906,-4.520719528198242,-7.251425743103027,-2.19635009765625,-5.568369388580322,-2.6015775203704834,-3.096135139465332,-4.150076866149902,-4.67836332321167,-7.487579822540283,Swing
Swing063.wav,0.2510267198085785,0.10132398456335068,1102.967590517455,1241.253370255302,1965.6714471870162,0.05588023655185759,-240.9928436279297,161.99203491210938,-27.07895278930664,23.68401336669922,-14.95293140411377,-15.357077598571777,-5.648600101470947,-18.51998519897461,-8.489106178283691,-11.487710952758789,-2.429670810699463,-5.69404935836792,-7.982016086578369,-1.6063429117202759,-5.04193639755249,-1.368685007095337,-6.5447306632995605,-7.710143089294434,-5.153143405914307,-9.564436912536621,Swing
Swing064.wav,0.32962819933891296,0.05431722104549408,1753.523913562057,2113.4797016927537,3668.052819786426,0.08010042267318111,-190.1998291015625,120.75091552734375,-6.663607597351074,15.379914283752441,-8.29599380493164,6.824962615966797,-6.755156993865967,1.0110106468200684,-5.935200214385986,4.80487060546875,-4.976818561553955,2.4350132942199707,-3.888551712036133,0.26880109310150146,-7.140471458435059,3.323007583618164,-4.321588516235352,-5.176253795623779,-5.629148960113525,-1.0470577478408813,Swing
Swing065.wav,0.42699289321899414,0.06079426407814026,1873.6827478297623,2213.8770111905155,4037.6589181622485,0.08268581898219814,-159.75149536132812,114.41197967529297,-6.825253486633301,19.90460777282715,-5.741954326629639,7.192564010620117,-8.313871383666992,0.34913286566734314,-8.007363319396973,-1.3050812482833862,-7.277674198150635,1.966193675994873,-7.39051628112793,0.4356231689453125,-7.596162796020508,1.8842452764511108,-4.162968635559082,-2.328646183013916,-4.703031063079834,-1.7728639841079712,Swing
Swing066.wav,0.2856101989746094,0.09778041392564774,1554.3796466313136,1774.9284674207354,3216.538883362761,0.0664005811000387,-179.59478759765625,124.32764434814453,-29.741775512695312,45.38368225097656,-10.188966751098633,17.780799865722656,-8.817682266235352,12.764227867126465,-10.756725311279297,8.615612030029297,-12.390896797180176,3.3914453983306885,-12.01815128326416,6.511953830718994,-9.865381240844727,-2.809282064437866,-5.114864826202393,-1.1965954303741455,-1.8772841691970825,-5.637333393096924,Swing
Swing067.wav,0.4348781704902649,0.07182871550321579,2227.0366443217354,2202.087614624281,4506.564416088187,0.12610279000580496,-116.5523681640625,99.10425567626953,-22.170650482177734,27.051143646240234,-14.144975662231445,6.11566162109375,-10.9398193359375,1.5344786643981934,-8.168895721435547,2.0212514400482178,-8.584877967834473,3.2635905742645264,-8.787419319152832,-0.14123401045799255,-7.8166184425354,1.6396068334579468,-3.176262617111206,-1.2718291282653809,-1.960940957069397,-0.06106729060411453,Swing
Swing068.wav,0.31801941990852356,0.058619920164346695,2203.6516885787323,2119.938203637109,4335.973780959753,0.13096028141931115,-160.34027099609375,100.01934814453125,-24.764358520507812,23.117759704589844,-14.531371116638184,7.736980438232422,-12.066192626953125,1.1561189889907837,-10.028181076049805,2.870513916015625,-9.921177864074707,0.5082158446311951,-5.082088470458984,-2.0327882766723633,-10.681814193725586,1.1680408716201782,-1.962198257446289,-0.6376350522041321,-1.5061712265014648,4.09836483001709,Swing
